Substrate Type,Substrate Concentration (g COD/L),Hydraulic Retention Time (hrs),Applied Voltage (V),Current Density (A/m³),pH,Temperature (°C),Inoculum Type,Hydrogen Production Rate (m³ H?/m³·d),Reference
Sodium acetate,0.78,16,0.8,291.52,7,30,Mixed culture from acetate-fed MFC (enriched),3.12,"Call, D. F. (2011)"
Sodium acetate,0.78,24.3,0.7,251.41,7,30,Mixed culture from acetate-fed MFC (enriched),2.67,
Sodium acetate,0.78,24.3,0.7,130.07,7,30,Mixed culture from acetate-fed MFC (enriched),1.39,
Sodium acetate,0.78,32.7,0.6,186.36,7,30,Mixed culture from acetate-fed MFC (enriched),1.99,
Sodium acetate,0.78,32.7,0.6,263.12,7,30,Mixed culture from acetate-fed MFC (enriched),2.61,
Sodium acetate,0.78,41,0.5,145.35,7,30,Mixed culture from acetate-fed MFC (enriched),1.45,
Sodium acetate,0.78,41,0.5,222.22,7,30,Mixed culture from acetate-fed MFC (enriched),2.07,
Sodium acetate,0.78,57.7,0.3,92.69,7,30,Mixed culture from acetate-fed MFC (enriched),0.7793,
Sodium acetate,0.78,57.7,0.3,99.07,7,30,Mixed culture from acetate-fed MFC (enriched),0.6423,
Sodium acetate,0.78,66,0.2,79.13,7,30,Mixed culture from acetate-fed MFC (enriched),0.2286,
Sodium acetate,0.78,66,0.2,103.16,7,30,Mixed culture from acetate-fed MFC (enriched),0.022,
Sodium acetate,0.32,15,1,3.19,7,30,Mixed culture (MFC-enriched + anaerobic digester sludge),0.095,"Jia et al., 2010"
Piggery wastewater,1.3,15,1,1.75,7.3,30,Mixed culture (anaerobic digester sludge),0.061,
Sodium acetate,0.32,15,0.4,0.64,7,30,Mixed culture,0.02,
Sodium acetate,0.32,15,0.4,1.25,7,30,Mixed culture,0.03,
Sodium acetate,0.32,15,0.4,2.5,7,30,Mixed culture,0.06,
Sodium acetate,0.82,48,0.7,0.8,7,30,"Mixed culture (Geobacter-dominated, enriched from MFC)",0.002,"Lime et al., 2020"
Sodium acetate,0.82,48,0.9,1.2,7.2,30,Mixed culture,0.0035,
Sodium acetate,0.82,48,1,1.6,7.4,30,Mixed culture,0.006,
Sodium acetate,0.82,48,1.2,1.4,7.5,30,Mixed culture,0.005,
Sodium acetate,0.82,48,1.8,0.9,7.2,30,Mixed culture,0.003,
Sodium acetate,0.82,48,2,0.5,6,30,Mixed culture,0.001,
Winery wastewater,4,24,0.9,0.3,6,22,Raw wastewater,0.002,"Cusick et al., 2011"
Winery wastewater,1,24,0.9,2,6,31,Mixed sludge (winery & WWTP),0.009,
Winery wastewater,0.76,24,0.9,5,6.4,31,Mixed sludge (Geobacter-dominated),0.016,
Winery wastewater,0.7,24,0.9,7.4,6.4,31,Mixed sludge (Geobacter-dominated),0.021,
Winery wastewater,0.7,24,0.9,7.4,6.4,15,Mixed sludge,0.007,
