Applied Voltage (V),Current Density (mA/cmÂ²),Substrate Concentration (g COD/L),Inoculum Type,HRT (d),pH,Temperature (Â°C),Substrate Type,Hydrogen Production Rate (HPR) (m³ H?/m³·d)
0.499632095,7.132536283,2.258762824,Pure Culture,5.950827464,6.616958919,20.65235897,Glucose,3.509508114
0.960571445,5.59291548,5.648059,Pure Culture,4.497875188,6.284324388,21.15405857,Acetate,5.056257757
0.785595153,3.440512355,8.792985441,Sludge,2.473154213,7.999403058,28.88730698,Acetate,9.143063629
0.678926787,8.231052687,7.456136421,Sludge,3.464121768,6.650701304,25.51095878,Acetate,7.17014395
0.324814912,7.004946139,8.162330905,Pure Culture,9.354857796,7.5843847,32.44079125,Acetate,5.9755202
0.324795616,2.044860924,6.758441984,Sludge,7.08384048,7.58580036,39.84884579,Glucose,6.932839249
0.24646689,9.153808253,7.076627363,Sludge,5.464430548,8.552156257,27.72646346,Glucose,7.346163097
0.892940917,8.314103808,8.56735869,Pure Culture,1.11443401,7.394769609,31.47682508,Starch,9.359260558
0.680892009,9.523099176,2.871846084,Sludge,9.931738604,7.00861444,28.31207792,Acetate,2.88268174
0.766458062,7.39433533,5.149537155,Mixed,7.043094414,5.555485306,36.94543335,Starch,5.278300458
0.216467595,6.327444361,2.601489697,Mixed,3.852302296,5.462950427,38.04472807,Glucose,5.467993265
0.975927882,4.473308845,9.882846076,Mixed,8.91341794,5.617286261,37.54711224,Glucose,8.024231062
0.865954113,9.360920592,9.468563727,Mixed,3.325884583,5.687393925,39.48744477,Starch,9.863013389
0.369871289,8.72760695,0.874554708,Pure Culture,5.896149213,7.551508371,20.5503837,Acetate,1.798557296
0.345459974,0.929577366,7.202964139,Pure Culture,6.724636874,7.963925001,36.79632324,Acetate,6.546746084
0.346723608,0.750486258,9.289859015,Pure Culture,2.989570343,7.119966092,35.03544346,Acetate,9.526414455
0.443393794,4.076401985,2.215465779,Mixed,9.805575509,8.31607093,24.57388819,Acetate,2.8070491
0.619805145,8.200256642,5.89547969,Mixed,7.733727154,8.965052907,39.12640187,Starch,7.095817009
0.545556015,9.879123228,9.197138827,Sludge,6.02031903,8.280050516,22.96355856,Starch,6.69994096
0.432983312,1.928960465,0.822486797,Sludge,2.625351384,7.779529495,33.59099854,Glucose,4.394536787
0.689482316,6.144241796,7.125492539,Mixed,1.484723863,7.129970798,24.49780434,Acetate,8.040318885
0.311595089,4.118463138,3.32481557,Mixed,3.880538493,6.795412287,28.62761298,Acetate,5.48855489
0.433715719,9.714186779,9.281763856,Mixed,7.778686023,5.337569522,34.38319794,Acetate,6.615922651
0.493089475,8.50012977,9.725053329,Mixed,3.423981685,6.597474994,31.26649284,Starch,8.036262774
